x,f1,f2,f3,f4,f5,f6,f7,f8
0,1,0.36,0.448,0.52,0.416,0.52,0.52,0
1,1,0.36,0.448,0.52,0.416,0.52,0.52,0
2,1,0.36,0.448,0.524,0.416,0.524,0.524,0
3,1,0.36,0.448,0.524,0.416,0.524,0.524,0
4,1,0.36,0.448,0.528,0.416,0.528,0.528,0
5,1,0.36,0.448,0.528,0.416,0.528,0.528,0
6,1,0.152,0.448,0.532,0.416,0.532,0.532,0
7,1,0,0.448,0.532,0.416,0.532,0.532,0
8,1,0,0.444,0.536,0.416,0.536,0.536,0
9,1,0,0.444,0.536,0.416,0.536,0.536,0
10,1,0,0.444,0.54,0.416,0.54,0.54,0.000325521
11,1,0,0.444,0.54,0.416,0.54,0.54,0.005110677
12,1,0,0.444,0.544,0.416,0.544,0.544,0.012304688
13,1,0,0.444,0.544,0.416,0.544,0.544,0.01891276
14,1,0,0.444,0.544,0.416,0.544,0.544,0.025585938
15,1,0,0.444,0.548,0.416,0.548,0.548,0.03343099
16,0,0,0.444,0.548,0.404,0.548,0.548,0.041796875
17,0,0,0.444,0.548,0.408,0.548,0.548,0.053027344
18,0,0,0.44,0.548,0.412,0.548,0.548,0.067545573
19,0,0,0.44,0.548,0.412,0.548,0.548,0.081998698
20,0,0,0.44,0.548,0.376,0.548,0.548,0.09436849
21,0,0,0.44,0.548,0.42,0.548,0.548,0.099544271
22,0,0,0.44,0.548,0.42,0.548,0.548,0.102604167
23,0,0,0.44,0.544,0.42,0.544,0.544,0.106803385
24,0,0,0.44,0.544,0.416,0.544,0.544,0.117740885
25,0,0,0.44,0.544,0.416,0.544,0.544,0.133040365
26,0,0,0.44,0.544,0.416,0.544,0.544,0.142122396
27,0,0,0.44,0.544,0.42,0.544,0.544,0.150651042
28,0,0,0.44,0.544,0.42,0.544,0.544,0.163769531
29,0,0,0.44,0.54,0.416,0.54,0.54,0.165983073
30,0,0,0.44,0.54,0.416,0.54,0.54,0.160188802
31,0,0,0.44,0.54,0.416,0.54,0.54,0.155664063
32,0,0,0.44,0.536,0.416,0.536,0.536,0.151302083
33,0,0,0.44,0.536,0.416,0.536,0.536,0.146647135
34,0,0,0.44,0.536,0.412,0.536,0.536,0.142545573
35,0,0,0.44,0.532,0.412,0.532,0.532,0.146419271
36,0,0,0.44,0.532,0.412,0.532,0.532,0.154492188
37,0,0,0.436,0.532,0.416,0.532,0.532,0.162044271
38,0,0,0.436,0.528,0.42,0.528,0.528,0.163053385
39,0,0,0.436,0.528,0.424,0.528,0.528,0.162792969
40,0,0,0.436,0.528,0.424,0.528,0.528,0.161523438
41,0,0,0.436,0.524,0.424,0.524,0.524,0.162988281
42,0,0,0.436,0.524,0.424,0.524,0.524,0.164811198
43,0,0,0.436,0.524,0.424,0.524,0.524,0.168522135
44,0,0,0.436,0.524,0.424,0.524,0.524,0.17281901
45,0,0,0.436,0.524,0.424,0.524,0.524,0.178320313
46,0,0,0.436,0.524,0.424,0.524,0.524,0.185188802
47,0,0,0.436,0.524,0.424,0.524,0.524,0.1921875
48,0,0,0.436,0.524,0.424,0.524,0.524,0.200227865
49,1,0.22,0.408,0.52,0.364,0.52,0.52,0.208984375
50,1,0.28,0.408,0.516,0.38,0.516,0.516,0.210058594
51,1,0.304,0.416,0.516,0.42,0.516,0.516,0.195084635
52,1,0.28,0.42,0.52,0.424,0.52,0.52,0.167252604
53,1,0.304,0.404,0.52,0.42,0.52,0.52,0.13968099
54,1,0.38,0.412,0.52,0.388,0.52,0.52,0.109570313
55,1,0.22,0.416,0.52,0.408,0.52,0.52,0.063671875
56,1,0.192,0.416,0.524,0.42,0.524,0.524,0.036653646
57,1,0,0.424,0.524,0.42,0.524,0.524,0.032226563
58,1,0,0.42,0.524,0.412,0.524,0.524,0.0375
59,1,0,0.42,0.528,0.404,0.528,0.528,0.054329427
60,1,0,0.42,0.532,0.412,0.532,0.532,0.085839844
61,1,0,0.42,0.532,0.412,0.532,0.532,0.116113281
62,1,0,0.424,0.536,0.416,0.536,0.536,0.136230469
63,1,0,0.428,0.54,0.384,0.54,0.54,0.138639323
64,1,0,0.432,0.544,0.42,0.544,0.544,0.15485026
65,0,0,0.436,0.544,0.416,0.544,0.544,0.180240885
66,0,0,0.436,0.544,0.408,0.544,0.544,0.2046875
67,0,0,0.432,0.544,0.4,0.544,0.544,0.22047526
68,0,0,0.432,0.544,0.416,0.544,0.544,0.237727865
69,0,0,0.432,0.544,0.424,0.544,0.544,0.2671875
70,0,0,0.428,0.544,0.424,0.544,0.544,0.304947917
71,0,0,0.424,0.54,0.404,0.54,0.54,0.330989583
72,0,0,0.428,0.54,0.38,0.54,0.54,0.337630208
73,0,0,0.428,0.54,0.424,0.54,0.54,0.338313802
74,0,0,0.432,0.54,0.424,0.54,0.54,0.339420573
75,0,0,0.432,0.54,0.424,0.54,0.54,0.341145833
76,0,0,0.432,0.54,0.424,0.54,0.54,0.342610677
77,0,0,0.436,0.54,0.424,0.54,0.54,0.344824219
78,0,0,0.436,0.54,0.424,0.54,0.54,0.344303385
79,0,0,0.436,0.54,0.424,0.54,0.54,0.339290365
80,0,0,0.436,0.54,0.424,0.54,0.54,0.335188802
81,1,0.212,0.42,0.54,0.424,0.54,0.54,0.328808594
82,1,0.264,0.412,0.536,0.368,0.536,0.536,0.313020833
83,1,0.268,0.424,0.54,0.408,0.54,0.54,0.27985026
84,1,0.3,0.428,0.544,0.42,0.544,0.544,0.248665365
85,1,0.308,0.416,0.544,0.42,0.544,0.544,0.216471354
86,1,0,0.42,0.548,0.404,0.548,0.548,0.179980469
87,1,0,0.424,0.548,0.42,0.548,0.548,0.169986979
88,0,0,0.424,0.548,0.384,0.548,0.548,0.16311849
89,0,0,0.428,0.548,0.424,0.548,0.548,0.156347656
90,0,0,0.432,0.548,0.424,0.548,0.548,0.15218099
91,0,0,0.436,0.548,0.424,0.548,0.548,0.149576823
92,0,0,0.436,0.548,0.424,0.548,0.548,0.143977865
93,0,0,0.436,0.548,0.42,0.548,0.548,0.144075521
94,0,0,0.44,0.548,0.416,0.548,0.548,0.147102865
95,0,0,0.44,0.548,0.412,0.548,0.548,0.147851563
96,0,0,0.44,0.548,0.412,0.548,0.548,0.147167969
97,0,0,0.44,0.548,0.412,0.548,0.548,0.148828125
98,0,0,0.44,0.548,0.416,0.548,0.548,0.151692708
99,0,0,0.44,0.548,0.416,0.548,0.548,0.167057292
100,0,0,0.436,0.548,0.42,0.548,0.548,0.194921875
101,0,0,0.428,0.548,0.404,0.548,0.548,0.212923177
102,0,0,0.424,0.548,0.404,0.548,0.548,0.225651042
103,0,0,0.42,0.548,0.408,0.548,0.548,0.230566406
104,0,0,0.42,0.544,0.412,0.544,0.544,0.234244792
105,0,0,0.42,0.544,0.424,0.544,0.544,0.251985677
106,0,0,0.42,0.544,0.424,0.544,0.544,0.273339844
107,0,0,0.416,0.544,0.412,0.544,0.544,0.289518229
108,0,0,0.42,0.544,0.408,0.544,0.544,0.291015625
109,0,0,0.424,0.544,0.412,0.544,0.544,0.289355469
110,0,0,0.428,0.544,0.416,0.544,0.544,0.284895833
111,0,0,0.428,0.544,0.42,0.544,0.544,0.282877604
112,0,0,0.424,0.544,0.42,0.544,0.544,0.285188802
113,0,0,0.424,0.544,0.42,0.544,0.544,0.293489583
114,0,0,0.42,0.544,0.412,0.544,0.544,0.29905599
115,0,0,0.42,0.544,0.416,0.544,0.544,0.315234375
116,0,0,0.42,0.544,0.408,0.544,0.544,0.33343099
117,0,0,0.424,0.544,0.408,0.544,0.544,0.351074219
118,0,0,0.424,0.544,0.408,0.544,0.544,0.370638021
119,0,0,0.428,0.54,0.372,0.54,0.54,0.362304688
120,0,0,0.428,0.54,0.42,0.54,0.54,0.36500651
121,0,0,0.428,0.536,0.416,0.536,0.536,0.378222656
122,0,0,0.432,0.536,0.416,0.536,0.536,0.393717448
123,0,0,0.432,0.536,0.416,0.536,0.536,0.409863281
124,0,0,0.432,0.536,0.412,0.536,0.536,0.424283854
125,0,0,0.432,0.532,0.412,0.532,0.532,0.440332031
126,0,0,0.432,0.532,0.412,0.532,0.532,0.455208333
127,0,0,0.432,0.532,0.416,0.532,0.532,0.459342448
128,0,0,0.432,0.528,0.408,0.528,0.528,0.460872396
129,0,0,0.432,0.528,0.412,0.528,0.528,0.472591146
130,0,0,0.432,0.528,0.416,0.528,0.528,0.488216146
131,0,0,0.432,0.524,0.416,0.524,0.524,0.506803385
132,0,0,0.432,0.524,0.416,0.524,0.524,0.524772135
133,0,0,0.432,0.524,0.412,0.524,0.524,0.542936198
134,0,0,0.432,0.524,0.416,0.524,0.524,0.561979167
135,0,0,0.432,0.524,0.376,0.524,0.524,0.559277344
136,0,0,0.432,0.524,0.42,0.524,0.524,0.571386719
137,0,0,0.432,0.524,0.412,0.524,0.524,0.59140625
138,0,0,0.432,0.524,0.416,0.524,0.524,0.608658854
139,0,0,0.432,0.524,0.42,0.524,0.524,0.627246094
140,0,0,0.432,0.524,0.416,0.524,0.524,0.646223958
141,0,0,0.432,0.524,0.416,0.524,0.524,0.664127604
142,0,0,0.432,0.524,0.416,0.524,0.524,0.682877604
143,0,0,0.432,0.524,0.416,0.524,0.524,0.687630208
144,0,0,0.432,0.524,0.412,0.524,0.524,0.700716146
145,0,0,0.432,0.524,0.412,0.524,0.524,0.716145833
146,0,0,0.432,0.524,0.416,0.524,0.524,0.732389323
147,0,0,0.432,0.524,0.408,0.524,0.524,0.741861979
148,0,0,0.432,0.524,0.412,0.524,0.524,0.745377604
149,0,0,0.432,0.524,0.412,0.524,0.524,0.747428385
150,0,0,0.432,0.524,0.412,0.524,0.524,0.749023438
151,0,0,0.432,0.524,0.416,0.524,0.524,0.74827474
152,0,0,0.432,0.524,0.416,0.524,0.524,0.749609375
153,0,0,0.432,0.524,0.408,0.524,0.524,0.74921875
154,0,0,0.432,0.524,0.404,0.524,0.524,0.749772135
155,0,0,0.432,0.524,0.408,0.524,0.524,0.751106771
156,0,0,0.432,0.52,0.412,0.52,0.52,0.750260417
157,0,0,0.432,0.524,0.408,0.524,0.524,0.747981771
158,0,0,0.432,0.524,0.412,0.524,0.524,0.746614583
159,0,0,0.432,0.52,0.412,0.52,0.52,0.748990885
160,0,0,0.432,0.52,0.412,0.52,0.52,0.749023438
161,0,0,0.432,0.52,0.412,0.52,0.52,0.749902344
162,0,0,0.432,0.52,0.412,0.52,0.52,0.750748698
163,0,0,0.432,0.52,0.412,0.52,0.52,0.750065104
164,0,0,0.432,0.52,0.412,0.52,0.52,0.75016276
165,0,0,0.432,0.52,0.412,0.52,0.52,0.750065104
166,0,0,0.432,0.52,0.412,0.52,0.52,0.750065104
167,0,0,0.432,0.52,0.412,0.52,0.52,0.750325521
168,0,0,0.428,0.52,0.416,0.52,0.52,0.745833333
169,0,0,0.428,0.52,0.408,0.52,0.52,0.744466146
170,0,0,0.432,0.52,0.416,0.52,0.52,0.741471354
171,0,0,0.432,0.52,0.416,0.52,0.52,0.739550781
172,0,0,0.432,0.52,0.416,0.52,0.52,0.737207031
173,0,0,0.432,0.52,0.416,0.52,0.52,0.736751302
174,0,0,0.432,0.52,0.416,0.52,0.52,0.733886719
175,0,0,0.428,0.52,0.416,0.52,0.52,0.730794271
176,0,0,0.428,0.52,0.416,0.52,0.52,0.727604167
177,0,0,0.428,0.52,0.416,0.52,0.52,0.725325521
178,0,0,0.428,0.52,0.404,0.52,0.52,0.721940104
179,0,0,0.428,0.52,0.416,0.52,0.52,0.72249349
180,0,0,0.428,0.52,0.416,0.52,0.52,0.724869792
181,0,0,0.428,0.52,0.416,0.52,0.52,0.725455729
182,0,0,0.424,0.52,0.416,0.52,0.52,0.725813802
183,0,0,0.424,0.52,0.416,0.52,0.52,0.725488281
184,0,0,0.424,0.52,0.416,0.52,0.52,0.725651042
185,0,0,0.424,0.52,0.412,0.52,0.52,0.72578125
186,0,0,0.424,0.52,0.408,0.52,0.52,0.726302083
187,0,0,0.424,0.52,0.408,0.52,0.52,0.725260417
188,0,0,0.424,0.52,0.408,0.52,0.52,0.724934896
189,0,0,0.424,0.52,0.408,0.52,0.52,0.725065104
190,0,0,0.424,0.52,0.408,0.52,0.52,0.725130208
191,0,0,0.424,0.52,0.408,0.52,0.52,0.725325521
192,0,0,0.424,0.52,0.404,0.52,0.52,0.725390625
193,0,0,0.428,0.52,0.404,0.52,0.52,0.724088542
194,0,0,0.428,0.52,0.408,0.52,0.52,0.724186198
195,0,0,0.428,0.52,0.408,0.52,0.52,0.724348958
196,0,0,0.428,0.52,0.408,0.52,0.52,0.724674479
197,0,0,0.428,0.52,0.408,0.52,0.52,0.725260417
198,0,0,0.428,0.52,0.408,0.52,0.52,0.724739583
199,0,0,0.428,0.52,0.408,0.52,0.52,0.724902344
200,0,0,0.428,0.52,0.408,0.52,0.52,0.72483724
201,0,0,0.428,0.52,0.408,0.52,0.52,0.723990885
202,0,0,0.428,0.52,0.416,0.52,0.52,0.722949219
203,0,0,0.428,0.52,0.416,0.52,0.52,0.724707031
204,0,0,0.424,0.52,0.416,0.52,0.52,0.723958333
205,0,0,0.424,0.52,0.416,0.52,0.52,0.720963542
206,0,0,0.42,0.52,0.416,0.52,0.52,0.722395833
207,0,0,0.42,0.52,0.416,0.52,0.52,0.723144531
208,0,0,0.42,0.52,0.416,0.52,0.52,0.723795573
209,0,0,0.42,0.52,0.416,0.52,0.52,0.723177083
210,0,0,0.42,0.52,0.416,0.52,0.52,0.722916667
211,0,0,0.42,0.52,0.416,0.52,0.52,0.723111979
212,0,0,0.42,0.52,0.416,0.52,0.52,0.722786458
213,0,0,0.42,0.52,0.416,0.52,0.52,0.722526042
214,0,0,0.42,0.52,0.416,0.52,0.52,0.72405599
215,0,0,0.42,0.52,0.416,0.52,0.52,0.723046875
216,0,0,0.42,0.52,0.416,0.52,0.52,0.724023438
217,0,0,0.424,0.52,0.416,0.52,0.52,0.724544271
218,0,0,0.424,0.52,0.416,0.52,0.52,0.724414063
219,0,0,0.424,0.52,0.416,0.52,0.52,0.725878906
220,0,0,0.424,0.52,0.416,0.52,0.52,0.725651042
221,0,0,0.424,0.52,0.416,0.52,0.52,0.725911458
222,0,0,0.424,0.52,0.416,0.52,0.52,0.726269531
223,0,0,0.424,0.52,0.416,0.52,0.52,0.726660156
224,0,0,0.424,0.52,0.416,0.52,0.52,0.726334635
225,0,0,0.424,0.52,0.416,0.52,0.52,0.726171875
226,0,0,0.424,0.52,0.416,0.52,0.52,0.725390625
227,0,0,0.424,0.52,0.416,0.52,0.52,0.726432292
228,0,0,0.424,0.52,0.416,0.52,0.52,0.725651042
229,0,0,0.424,0.52,0.416,0.52,0.52,0.726855469
230,0,0,0.428,0.52,0.416,0.52,0.52,0.7265625
231,0,0,0.428,0.52,0.416,0.52,0.52,0.726106771
232,0,0,0.428,0.52,0.416,0.52,0.52,0.726334635
233,0,0,0.428,0.52,0.416,0.52,0.52,0.726432292
234,0,0,0.428,0.52,0.416,0.52,0.52,0.726627604
235,0,0,0.428,0.52,0.416,0.52,0.52,0.726139323
236,0,0,0.428,0.52,0.416,0.52,0.52,0.726660156
237,0,0,0.428,0.52,0.412,0.52,0.52,0.726497396
238,0,0,0.428,0.52,0.404,0.52,0.52,0.727213542
239,0,0,0.428,0.52,0.408,0.52,0.52,0.727897135
240,0,0,0.428,0.52,0.412,0.52,0.52,0.726757813
241,0,0,0.428,0.516,0.412,0.516,0.516,0.726790365
242,0,0,0.428,0.516,0.412,0.516,0.516,0.727473958
243,0,0,0.428,0.516,0.412,0.516,0.516,0.727050781
244,0,0,0.428,0.516,0.412,0.516,0.516,0.728222656
245,0,0,0.428,0.516,0.412,0.516,0.516,0.728613281
246,1,0,0.428,0.516,0.416,0.516,0.516,0.728548177
247,1,0,0.428,0.516,0.416,0.516,0.516,0.729427083
248,1,0,0.428,0.516,0.416,0.516,0.516,0.729882813
249,1,0,0.428,0.52,0.416,0.52,0.52,0.731119792
250,1,0,0.424,0.524,0.416,0.524,0.524,0.731608073
251,1,0,0.42,0.532,0.42,0.532,0.532,0.731380208
252,1,0,0.42,0.536,0.42,0.536,0.536,0.732161458
253,1,0,0.42,0.54,0.42,0.54,0.54,0.73264974
254,1,0,0.42,0.544,0.42,0.544,0.544,0.731575521
255,1,0,0.424,0.552,0.42,0.552,0.552,0.731901042
256,1,0,0.428,0.556,0.42,0.556,0.556,0.728320313
257,1,0,0.428,0.56,0.42,0.56,0.56,0.725813802
258,0,0,0.432,0.56,0.42,0.56,0.56,0.724479167
259,0,0,0.436,0.56,0.412,0.56,0.56,0.723177083
260,0,0,0.436,0.56,0.412,0.56,0.56,0.72249349
261,0,0,0.44,0.56,0.412,0.56,0.56,0.723860677
262,0,0,0.44,0.56,0.412,0.56,0.56,0.724511719
263,0,0,0.44,0.56,0.412,0.56,0.56,0.723177083
264,0,0,0.44,0.56,0.408,0.56,0.56,0.723632813
265,0,0,0.44,0.56,0.408,0.56,0.56,0.723925781
266,0,0,0.44,0.56,0.408,0.56,0.56,0.723958333
267,0,0,0.44,0.56,0.412,0.56,0.56,0.724186198
268,0,0,0.44,0.56,0.416,0.56,0.56,0.723925781
269,0,0,0.44,0.556,0.42,0.556,0.556,0.723925781
270,0,0,0.44,0.556,0.42,0.556,0.556,0.723177083
271,0,0,0.44,0.556,0.42,0.556,0.556,0.723502604
272,0,0,0.44,0.556,0.42,0.556,0.556,0.724446615
273,0,0,0.44,0.556,0.416,0.556,0.556,0.724544271
274,0,0,0.44,0.556,0.416,0.556,0.556,0.723567708
275,0,0,0.44,0.556,0.416,0.556,0.556,0.723925781
276,0,0,0.44,0.552,0.416,0.552,0.552,0.723632813
277,0,0,0.44,0.552,0.416,0.552,0.552,0.724186198
278,0,0,0.44,0.552,0.416,0.552,0.552,0.724511719
279,0,0,0.44,0.548,0.416,0.548,0.548,0.724609375
280,0,0,0.44,0.548,0.416,0.548,0.548,0.724772135
281,0,0,0.44,0.548,0.416,0.548,0.548,0.724804688
282,0,0,0.44,0.544,0.416,0.544,0.544,0.724283854
283,0,0,0.44,0.544,0.416,0.544,0.544,0.725878906
284,0,0,0.44,0.544,0.416,0.544,0.544,0.725130208
285,0,0,0.44,0.544,0.416,0.544,0.544,0.724772135
286,0,0,0.44,0.544,0.416,0.544,0.544,0.725358073
287,0,0,0.44,0.544,0.416,0.544,0.544,0.72483724
288,0,0,0.44,0.544,0.416,0.544,0.544,0.726269531
289,0,0,0.44,0.544,0.416,0.544,0.544,0.725423177
290,0,0,0.44,0.544,0.416,0.544,0.544,0.725520833
291,0,0,0.44,0.544,0.416,0.544,0.544,0.726074219
292,0,0,0.44,0.544,0.416,0.544,0.544,0.725846354
293,0,0,0.44,0.544,0.416,0.544,0.544,0.725097656
294,0,0,0.44,0.544,0.416,0.544,0.544,0.724544271
295,0,0,0.44,0.544,0.416,0.544,0.544,0.725325521
296,0,0,0.44,0.544,0.416,0.544,0.544,0.725390625
297,0,0,0.44,0.544,0.412,0.544,0.544,0.725651042
298,0,0,0.44,0.544,0.412,0.544,0.544,0.725683594
299,0,0,0.44,0.544,0.412,0.544,0.544,0.724869792
300,0,0,0.44,0.544,0.412,0.544,0.544,0.725130208
301,0,0,0.44,0.544,0.416,0.544,0.544,0.72561849
302,0,0,0.44,0.544,0.412,0.544,0.544,0.726074219
303,0,0,0.44,0.54,0.408,0.54,0.54,0.72594401
304,0,0,0.44,0.54,0.412,0.54,0.54,0.725716146
305,0,0,0.44,0.54,0.412,0.54,0.54,0.724511719
306,0,0,0.44,0.54,0.408,0.54,0.54,0.72516276
307,0,0,0.44,0.54,0.412,0.54,0.54,0.727018229
308,0,0,0.44,0.54,0.416,0.54,0.54,0.734830729
309,0,0,0.44,0.54,0.404,0.54,0.54,0.745117188
310,0,0,0.436,0.54,0.408,0.54,0.54,0.748990885
311,0,0,0.436,0.54,0.404,0.54,0.54,0.750878906
312,0,0,0.436,0.54,0.408,0.54,0.54,0.75094401
313,0,0,0.436,0.54,0.408,0.54,0.54,0.749348958
314,0,0,0.436,0.54,0.408,0.54,0.54,0.749511719
315,0,0,0.436,0.54,0.408,0.54,0.54,0.749804688
316,0,0,0.436,0.54,0.408,0.54,0.54,0.750065104
317,0,0,0.432,0.54,0.408,0.54,0.54,0.750130208
318,0,0,0.432,0.54,0.408,0.54,0.54,0.750390625
319,0,0,0.432,0.54,0.408,0.54,0.54,0.750325521
320,0,0,0.432,0.54,0.408,0.54,0.54,0.749902344
321,0,0,0.432,0.54,0.408,0.54,0.54,0.74983724
322,0,0,0.432,0.54,0.408,0.54,0.54,0.74983724
323,0,0,0.428,0.54,0.408,0.54,0.54,0.750683594
324,0,0,0.428,0.54,0.408,0.54,0.54,0.750878906
325,0,0,0.428,0.54,0.408,0.54,0.54,0.751822917
326,0,0,0.428,0.54,0.408,0.54,0.54,0.750716146
327,0,0,0.428,0.54,0.408,0.54,0.54,0.749479167
328,0,0,0.428,0.54,0.408,0.54,0.54,0.744921875
329,0,0,0.428,0.54,0.408,0.54,0.54,0.742871094
330,0,0,0.428,0.54,0.408,0.54,0.54,0.74078776
331,0,0,0.428,0.54,0.408,0.54,0.54,0.740364583
332,0,0,0.428,0.54,0.416,0.54,0.54,0.741210938
333,0,0,0.428,0.54,0.404,0.54,0.54,0.742154948
334,0,0,0.428,0.536,0.408,0.536,0.536,0.741308594
335,0,0,0.428,0.536,0.412,0.536,0.536,0.740266927
336,0,0,0.424,0.536,0.416,0.536,0.536,0.740527344
337,0,0,0.424,0.536,0.416,0.536,0.536,0.73984375
